transaction_id,account_id,email,amount,department_code
TXN-100000,ACC-81426,user_19@example.com,117.32,FIN
TXN-100001,ACC-39256,user_16@example.com,752.53,FIN
TXN-100002,ACC-30379,user_3@example.com,329.19,FIN
TXN-100003,ACC-76237,user_12@example.com,228.24,MKT
TXN-100004,ACC-59797,user_28@example.com,42.41,OPS
TXN-100005,ACC-22156,user_18@example.com,42.4,MKT
TXN-100006,ACC-95181,user_6@example.com,14.96,OPS
TXN-100007,ACC-38221,user_8@example.com,502.81,MKT
TXN-100008,ACC-65302,user_1@example.com,229.77,MKT
TXN-100009,ACC-44671,user_22@example.com,307.81,IT
TXN-100010,ACC-44671,user_13@example.com,307.81,MKT
TXN-100011,ACC-13278,user_0@example.com,875.89,HR
TXN-100012,ACC-57052,user_16@example.com,446.61,IT
TXN-100013,ACC-13905,user_29@example.com,59.67,MKT
TXN-100014,ACC-26361,user_25@example.com,50.17,FIN
TXN-100015,ACC-76237,user_17@example.com,50.65,HR
TXN-100016,ACC-39256,user_21@example.com,90.69,HR
TXN-100017,ACC-13905,user_23@example.com,185.98,HR
TXN-100018,ACC-28289,user_23@example.com,141.38,IT
TXN-100019,ACC-81426,user_23@example.com,86.06,MKT
TXN-100020,ACC-40495,user_21@example.com,236.59,MKT
TXN-100021,ACC-46463,user_6@example.com,37.56,FIN
TXN-100022,ACC-59797,user_11@example.com,86.38,FIN
TXN-100023,ACC-95181,user_13@example.com,114.07,HR
TXN-100024,ACC-21395,user_2@example.com,152.23,FIN
TXN-100025,ACC-21395,user_21@example.com,152.23,IT
TXN-100026,ACC-36062,user_29@example.com,55.68,MKT
TXN-100027,ACC-14165,user_10@example.com,180.51,HR
TXN-100028,ACC-57052,user_19@example.com,224.38,FIN
TXN-100029,ACC-40495,user_10@example.com,11.89,IT
TXN-100030,ACC-89131,user_21@example.com,233.83,IT
TXN-100031,ACC-55082,user_27@example.com,46.74,FIN
TXN-100032,ACC-22676,user_3@example.com,16.82,MKT
TXN-100033,ACC-42098,user_23@example.com,743.42,FIN
TXN-100034,ACC-23396,user_28@example.com,842.66,HR
TXN-100035,ACC-59797,user_9@example.com,413.08,FIN
TXN-100036,ACC-21395,user_16@example.com,90.82,IT
TXN-100037,ACC-46421,user_9@example.com,25.69,FIN
TXN-100038,ACC-15695,user_21@example.com,288.19,MKT
TXN-100039,ACC-22280,user_13@example.com,145.02,OPS
TXN-100040,ACC-21395,user_10@example.com,32.54,FIN
TXN-100041,ACC-46463,user_12@example.com,170.89,MKT
TXN-100042,ACC-81426,user_22@example.com,8.75,MKT
TXN-100043,ACC-40495,user_9@example.com,600.11,IT
TXN-100044,ACC-59797,user_17@example.com,74.86,MKT
TXN-100045,ACC-89131,user_4@example.com,271.56,MKT
TXN-100046,ACC-30379,user_6@example.com,93.39,MKT
TXN-100047,ACC-13905,user_13@example.com,183.53,MKT
TXN-100048,ACC-55082,user_21@example.com,197.81,HR
TXN-100049,ACC-13478,user_12@example.com,51.1,HR
TXN-100050,ACC-26361,user_21@example.com,85000.0,IT
TXN-100051,ACC-26361,user_23@example.com,373.06,FIN
TXN-100052,ACC-46048,user_28@example.com,701.27,MKT
TXN-100053,ACC-13905,user_5@example.com,563.04,FIN
TXN-100054,ACC-13278,user_19@example.com,227.76,FIN
TXN-100055,ACC-13478,user_18@example.com,637.36,IT
TXN-100056,ACC-64987,user_9@example.com,23.16,MKT
TXN-100057,ACC-40495,user_12@example.com,54.53,MKT
TXN-100058,ACC-42098,user_17@example.com,11.57,OPS
TXN-100059,ACC-14165,user_26@example.com,98.38,FIN
TXN-100060,ACC-38221,user_0@example.com,123.03,FIN
TXN-100061,ACC-44671,user_9@example.com,79.14,HR
TXN-100062,ACC-13478,user_9@example.com,441.14,OPS
TXN-100063,ACC-14165,user_6@example.com,110.31,HR
TXN-100064,ACC-22676,user_13@example.com,82.45,HR
TXN-100065,ACC-30926,user_25@example.com,195.6,HR
TXN-100066,ACC-64987,user_18@example.com,37.97,IT
TXN-100067,ACC-22676,user_19@example.com,405.12,IT
TXN-100068,ACC-46463,user_20@example.com,19.37,HR
TXN-100069,ACC-81482,user_10@example.com,1083.54,OPS
TXN-100070,ACC-38657,user_14@example.com,369.87,FIN
TXN-100071,ACC-98696,user_14@example.com,55.38,OPS
TXN-100072,ACC-22280,user_14@example.com,1.38,MKT
TXN-100073,ACC-70217,user_21@example.com,422.47,IT
TXN-100074,ACC-30379,user_6@example.com,306.77,FIN
TXN-100075,ACC-46421,user_16@example.com,326.42,FIN
